TickerStock;TickerETF;TickerFuture;TickerIndex;TickerFundMutual;TickerCurrency
MTGE;FEM;USSN6.AX;^NQEMASIASCEURT;USSN6.AX;IACWE.PA
CENX;EWAS;ATCOA6OX.ST;^NQHK5000AUD;ATCOA6OX.ST;AED=X
ASPS;ENFR;A2SMZ6.EX;SXW9.Z;A2SMZ6.EX;AUDJOD=X
AMRN;DIVI;CNJ15-3.SI;^NQDMASPASCAUDN;CNJ15-3.SI;EUR-BZD.F
AMPE;DBIZ;APC5.AX;^NQUSB8530AUDT;APC5.AX;AUKOT.SW
AMAG;DBAP;VI16H.AX;^NQASPAXJPJPYN;VI16H.AX;AEDEGP=X
ALKS;CROC;ART.SI;N8WZ.DE;ART.SI;AUDTJS=X
AFFX;ARKK;PLM1525-C.BO;4MU3.DE;PLM1525-C.BO;EUR-ZMK.F
ADES;AND;AGKKOB-A;^NQASPA5300LMJPYN;AGKKOB-A;AWGEUR=X
ACAT;ALTS;CLX1526-C.BO;^INDIA15;CLX1526-C.BO;ANGCAD=X
AAON;AGND;AR16U.AX;INUS7.NX;AR16U.AX;AUDPKR=X
XLRN;ACTX;A2SGZ6.EX;D4OF.DE;A2SGZ6.EX;AEDJOD=X
VRSK;UAG;IR18Z.AX;^NQAU5000CADT;IR18Z.AX;ARSTHB=X
VJET;TUSA;T58FQ18-2.SI;V1I5.DE;T58FQ18-2.SI;EURHRK=X
OA;TPYP;APSU6.AX;RTXNRGEUR.VI;APSU6.AX;EURLBP=X
ATLS;SMCP;BKV1529-C.BO;^NQIN8000AUDT;BKV1529-C.BO;ARSDKK=X
APTS;SCIX;OMXS306D.ST;^BCOMAL3;OMXS306D.ST;AWGGBP=X
APO;QVM;APQ15-2.SI;SAN71Y.SW;APQ15-2.SI;AUDTHB=X
ALSK;QEH;M58FQ18-2.SI;STA05P.SW;M58FQ18-2.SI;AUDBOB=X
ALG;MLPI;APSF6.AX;DV2E.DE;APSF6.AX;EUR-XAF.F
AHC;MATH;STB6P.OL;^A1SUSETR;STB6P.OL;AFNUSD=X
ACTG;LALT;LDJ1628-C.BO;^NQAU9000N;LDJ1628-C.BO;AUDJMD=X
ACAS;KBA;UBSK6.AX;^NQNA2300N;UBSK6.AX;AEDSAR=X
RBA;HACV;WMC6.AX;^NQEMMEA4000AUDN;WMC6.AX;AUDKWD=X
MAA;GSJY;VCA9.AX;^NQASPA3000AUDT;VCA9.AX;AOA=X
BAM;GSEU;APSV5.AX;^NQZASCZARN;APSV5.AX;AUDISK=X
ATHN;GEUR;TKQ1527-C.BO;^NQDMASPA7000N;TKQ1527-C.BO;985840=X
AT;GAA;PPCFQ15-2.SI;SAA10Y.SW;PPCFQ15-2.SI;EURMUR=X
ASX;FYX;ISH1631-C.BO;^NQUSM2000AUD;ISH1631-C.BO;AUDDKK=X
ARCO;FTAG;FTXJ6.EX;SBIGD7.SW;FTXJ6.EX;AUGLE.SW
ANET;FSZ;R2:DAGB33T.SA;^NQNA8000EURN;R2:DAGB33T.SA;AUDKES=X
ANCX;FEMS;APSZ5.AX;^NQDMASIA8600LMT;APSZ5.AX;AEDDKK=X
AIR;FBZ;APM5.AX;SBIGT1.SW;APM5.AX;ARSSGD=X
AF;FAUS;FNC6D.MDD;^NQHK3000AUDN;FNC6D.MDD;EUR-JOD.F
WAB;EQL;R2:BRGE7T.SA;D8AF.DE;R2:BRGE7T.SA;AEDIDR=X
RS;EPRO;APX1526-C.BO;2742.DE;APX1526-C.BO;AUDTMT=X
PKG;DJD;CPGGJ6.EX;^BKCPTTR;CPGGJ6.EX;AUDUGX=X
CSH;DBAW;SREIJ6.EX;UDYQ.DE;SREIJ6.EX;AUDBRL=X
AXDX;BABZ;PESFQ15-3.SI;4NAN.DE;PESFQ15-3.SI;AOACHF=X
AVHI;BAB;IRSZ9.AX;^NQCHLCAUD;IRSZ9.AX;AUDARS=X
AVA;AXJS;NSJ16-3.SI;^DWAPFN;NSJ16-3.SI;XF000EURPEN5.SG
ATHX;AXJL;SHPFQ6.EX;ASX8350.L;SHPFQ6.EX;AUDAWG=X
ARWR;AUSE;APG15-2.SI;3BSF.DE;APG15-2.SI;AUDCNY=X
ANGI;AUNZ;VOLVB6P.ST;^NQNA2000CADN;VOLVB6P.ST;AWGUSD=X
AMG;AUD;APSH5.AX;^NQEMEU3300CAD;APSH5.AX;EURBOB=X
ALSN;ATMP;A2SGZ8.EX;^YHOH800;A2SGZ8.EX;HF42.EX
ALGN;ARKW;SUBC6P.OL;SFC12T.SW;SUBC6P.OL;AUDZAR=X
AKBA;ALFI;ELJ1628-C.BO;^NQUSB3747AUDN;ELJ1628-C.BO;AEDCHF=X
AGO;AGOL;AHU.SI;^NQDMASPA2300LMN;AHU.SI;AUDPEN=X
AEZS;AGF;PLK1528-C.BO;RNEL.FGI;PLK1528-C.BO;AEDIQD=X
ACRX;WYDE;OERGJ6.EX;^NQASPA2300AUD;OERGJ6.EX;AUDBAM=X
ROK;VIGI;ACH1631-C.BO;^NQDMASIA1700LMN;ACH1631-C.BO;AOAEUR=X
GLPI;UBND;MS6D.MDD;^NQLA7000CAD;MS6D.MDD;ANGUSD=X
DNI;TAGS;ECOAUG16.PA;^NQPLLMAUDT;ECOAUG16.PA;AZNEUR=X
AZZ;SLDR;HKJ15-2.SI;^NQCI3ACER;HKJ15-2.SI;AUDBBD=X
ATRC;RORO;USK8.AX;WIPACXJA3350.FGI;USK8.AX;AUDSVC=X
ARRS;QABA;VCA6.AX;^NQZA8000LMJPYN;VCA6.AX;AUDCOP=X
ARMK;PAEU;IR20H.AX;^NQNAMCAUD;IR20H.AX;ALL=X
AOS;OAPH;M58FQ15-3.SI;^DJAU;M58FQ15-3.SI;AFNEUR=X
ANFI;MLPL;APN15-2.SI;^SPAU23;APN15-2.SI;ALLCHF=X
AMID;AXUT;TLSN6P.ST;^NQDMASPASCCADT;TLSN6P.ST;AUDBSD=X
AMCX;ILB;IIEFJ6.EX;SATXEUR.VI;IIEFJ6.EX;AUDTRY=X
ALIM;IBMD;AAC6.AX;^NQEM0001AUDN;AAC6.AX;AUDSEK=X
ALE;HDGI;EDJ15-2.SI;WIAMERS9530.FGI;EDJ15-2.SI;BTCUSD=X
AHT;GSAX;AAPGH6.EX;^NQLA3000LMEUR;AAPGH6.EX;BWPMAD=X
ACW;GLDE;AS88Z.AS;^NQAT8000N;AS88Z.AS;BWPKYD=X
ABB;FWDB;AKUFM6.EX;^NQUSS5370AUDN;AKUFM6.EX;BWPISK=X
AALI.JK;FNY;BKK1528-C.BO;4465.DE;BKK1528-C.BO;BWPINR=X
SPR;EWO;AOMGM6.EX;^NQZASCGBPN;AOMGM6.EX;BWPIDR=X
SEE;EDOG;ASMHM6.EX;^NQNA1000LMJPY;ASMHM6.EX;BWPFJD=X
RDEN;DIRT;BCJ1530-C.BO;^DJCIAC;BCJ1530-C.BO;BWPEUR=X
PAAS;DEFA;APG1625-C.BO;^NQDMASPA8300N;APG1625-C.BO;BWPBDT=X
DLPH;CRBN;AFM5.AX;3BQ6.DE;AFM5.AX;BRLINR=X
ADAC;CNHX;IRU6.AX;^DJCIAWT;IRU6.AX;BOBVEF=X
CBL;BNDS;USSF7.AX;^SP500-30202010;USSF7.AX;BOBUSD=X
BBVA;ASHS;ELH1631-C.BO;D1AH.DE;ELH1631-C.BO;BOBPEN=X
AYR;ARKQ;PSMGJ6.EX;^NQEMASIA5700CADN;PSMGJ6.EX;BOBCOP=X
APOG;ANGL;THPGJ6.EX;KRXSECTOR-9.KS;THPGJ6.EX;BOBCHF=X
ANDE;AIRR;IRSH0.AX;^NQNA2700LMJPY;IRSH0.AX;BMDUSD=X
AMSC;AAIT;VCF7.AX;^NQNA1000EURT;VCF7.AX;BMD=X
AMRS;YLD;NKQ15-C.SI;CECEMUSD.VI;NKQ15-C.SI;BHDOMR=X
AMED;VAMO;LDV1529-C.BO;D8TZ.DE;LDV1529-C.BO;BHDJPY=X
ALEX;TYTE;ISJ1628-C.BO;^NQEMASIA4000T;ISJ1628-C.BO;BHDEUR=X
ALCO;TAPR;PSZ8.AX;^NQUSL8600AUDN;PSZ8.AX;BHDCHF=X
ADUS;RDVY;VC16K.AX;^NQEU3300GBP;VC16K.AX;BHDAED=X
ACTA;PZA;AF17H.AX;^NQLA3000LMGBPT;AF17H.AX;BBDDKK=X
ACST;PAF;ATX1526-C.BO;^NQID3000AUDN;ATX1526-C.BO;BWPNGN=X
AAWW;NANR;IRT5.AX;CFNDEUR.VI;IRT5.AX;BWPTOP=X
WMS;MUAF;EFXFJ6.EX;^NQEMASIA2300N;EFXFJ6.EX;BWPGBP=X
PAG;KSA;R2:SLCE3T.SA;^NQUSB5751LMGBPT;R2:SLCE3T.SA;BTN=X
MDRX;IFSM;M58FJ17-2.SI;^NQDMMEA8300AUD;M58FJ17-2.SI;29134332=X
KLIC;IDOG;CNJ16-C.SI;^NQDMASIA3500EUR;CNJ16-C.SI;BWPHUF=X
ETH;GSRA;PPCFQ15-3.SI;AXX4500.L;PPCFQ15-3.SI;BND=X
AZPN;GDAY;NKJ16-2.SI;4NAD.DE;NKJ16-2.SI;BNDGBP=X
AXE;GAL;PPSFJ15-C.SI;^NQLASC;PPSFJ15-C.SI;BRLCAD=X
ATNY;FVI;M58FQ16-3.SI;^NQPTLMAUDT;M58FQ16-3.SI;BRLRUB=X
APRI;FORX;PSU9.AX;^NQASIA2000LMGBPT;PSU9.AX;BM.PA
AMH;FLRT;CLQ1527-C.BO;SFA57T.SW;CLQ1527-C.BO;BWPMUR=X
AME;FAD;US17F.AX;^NQASPA3700EURT;US17F.AX;BAMGBP=X
AJG;DI;PS16H.AX;^NQUSB9535LMAUD;PS16H.AX;BTNUSD=X
AIQ;CWI;T58FJ18-3.SI;^NQDMEU9000AUDN;T58FJ18-3.SI;BRLPEN=X
